🌏湾湾风度,#genre#
公视3台(農),mitv://generationnexxxt.com:19806/644b68b6000986562865dcfd18684edd
大爱2台(農),mitv://generationnexxxt.com:19806/645786e2000d8b6357bbc4c47442653f
ELTV生活英语台(農),mitv://generationnexxxt.com:19806/264eb6cb34c5497a99312ce73883a073
靖洋卡通Nice Bingo(農),mitv://generationnexxxt.com:19806/9c0a957495a044c78942d4d7adb54662
靖天卡通台(農),mitv://generationnexxxt.com:19806/31373da9de144c1fbe1f505bcaa978aa
达文西频道(農),mitv://generationnexxxt.com:19806/beaf5c1a3d7b44e1b4a99bcc20cd8ed7
Nick Jr.(農),mitv://generationnexxxt.com:19806/002b860a0a6b46c280d4eef8c2debee1
国会频道1(農),mitv://generationnexxxt.com:19806/4cfc6c926b9549c7b886205726151a3c
国会频道2(農),mitv://generationnexxxt.com:19806/3f4b0cb786764e0c942390995ed9ed44
MTV Live(農),mitv://generationnexxxt.com:19806/644b68b5000c14aa2865d9c1567d521e
Mezzo Live(農),mitv://generationnexxxt.com:19806/35c919f9094445e98749b1511bb4aaf4
CLASSICA 古典乐(農),mitv://generationnexxxt.com:19806/bfcce4097e7b43c0affa24d6ec263175
CMusic(農),mitv://generationnexxxt.com:19806/7e72c3e7a1584bc096789ccd40162bc4
爱尔达体育1台(备)(農),mitv://generationnexxxt.com:19806/7ee39f66b9f448979335e4067812760f
爱尔达体育2台(農),mitv://generationnexxxt.com:19806/d833228c98a04547a6005f206d71117d
TRACE Sport Stars(農),mitv://generationnexxxt.com:19806/e52cafc2a2864446ba65c2b1e787ef52
博斯高球(農),mitv://generationnexxxt.com:19806/644e9b25000c685d34e2df612a7375dc
博斯高球二台(農),mitv://generationnexxxt.com:19806/5469d36a29bd428bbd60342fe7db2471
博斯网球台(農),mitv://generationnexxxt.com:19806/644e9b26000400c834e2e116485d6736
博斯魅力网(農),mitv://generationnexxxt.com:19806/d2e51a0dea8e4698945f956bd8e13ad9
博斯无限台(農),mitv://generationnexxxt.com:19806/644e9b25000559f634e2dd8c46c81a89
博斯无限二台(農),mitv://generationnexxxt.com:19806/4e3ed72f4150435d90bf020a74ea1bc5
博斯运动(農),mitv://generationnexxxt.com:19806/644e9b24000f31b634e2dc24008c5e76
ELEVEN体育2台(農),mitv://generationnexxxt.com:19806/e3aeaea58e574957a3ce60d7e2d1081d
智林体育台(農),mitv://generationnexxxt.com:19806/e32d399935b14711ad1b193cd5841274
博斯运动二台(農),mitv://generationnexxxt.com:19806/5faa98e5bbc442e4bd72b544651dd1be
OUTDOOR(農),mitv://generationnexxxt.com:19806/6057993e3b7d40ce81c274cb04e6db5a
HBO强档巨献(農),mitv://generationnexxxt.com:19806/f33628c42a3645dba83d317e70abf28c
HBO原创巨献(農),mitv://generationnexxxt.com:19806/8987f1bb3c9740e980bce7d787cfba0d
国家地理高画质野生频道(農),mitv://generationnexxxt.com:19806/faccdb1e8d4a48c4a2eb75b6fb436c05
BBC Earth(農),mitv://generationnexxxt.com:19806/34f24f8ef6214f94a7e8d5981eb9cde2
Discovery Asia(農),mitv://generationnexxxt.com:19806/0cb2bcf330534b429a8e008ccdc8886c
Discovery科学频道(農),mitv://generationnexxxt.com:19806/862c9ba288c44277925b51c391df263b
DMAX(農),mitv://generationnexxxt.com:19806/645786e20006a4f857bbc2ff4d3a0833
EVE(農),mitv://generationnexxxt.com:19806/2adb8e78858a455a84520253425057f3
滚动力rollor(農),mitv://generationnexxxt.com:19806/136a99af59514db0994eccafd13c926f
历史频道(農),mitv://generationnexxxt.com:19806/8641f6fb752d427db9a8df1625f88d22
罪案侦缉频道(農),mitv://generationnexxxt.com:19806/ac8e4a1c6d944d28a3d281d65f6892a2
BBC Lifestyle(農),mitv://generationnexxxt.com:19806/99d72fa5a5e94df7a3d961690ee09785
LUXE TV(農),mitv://generationnexxxt.com:19806/c02d3bf53e8f4021947feb28aeb0c496
Lifetime(農),mitv://generationnexxxt.com:19806/d0da12938b6545828917832ad283dfce
KLT-靖天国际台(農),mitv://generationnexxxt.com:19806/4c1e84b189e54aee8e1606a285eb57d9
HGTV居家乐活频道(農),mitv://generationnexxxt.com:19806/d6ed657bb866458a91e28701a1b0bcf1
Love Nature(農),mitv://generationnexxxt.com:19806/0e5b3219870a4f79bec208ec1fbaad63
美食星球(農),mitv://generationnexxxt.com:19806/c8b8f19c8410441eb9e9039572c72137
亚洲美食频道(農),mitv://generationnexxxt.com:19806/5ae5dc61eb68407cb5dac94ce8dfca2e
亚洲旅游台(農),mitv://generationnexxxt.com:19806/8e7af36f23874793854226c5b64097d3
EYE TV旅游台(農),mitv://generationnexxxt.com:19806/1f972fea45904a9caa1119860d4d4b70
时尚频道(農),mitv://generationnexxxt.com:19806/e87adc01be824ef19f005a76e4fce189
好消息2台(農),mitv://generationnexxxt.com:19806/cb76c9e88c7640338483654e54fa3feb
三立综合台(農),mitv://generationnexxxt.com:19806/88111b4d4a2b458cacbff40f21b31d7e
靖天资讯台(農),mitv://generationnexxxt.com:19806/73055a21a1ca42d09f7ffd71999903bd
靖天综合台(農),mitv://generationnexxxt.com:19806/584a9cd055a345c0aeee443b3689a0b0
靖天育乐台(農),mitv://generationnexxxt.com:19806/7041763caa1a48e4bc840abd3747f33d
中视经典台(農),mitv://generationnexxxt.com:19806/0a7a6c90f54b48e0878d0594d08916f6
中视菁采台(農),mitv://generationnexxxt.com:19806/dc2d664758354920a5935d334a40e7e8
TVBS精采台(農),mitv://generationnexxxt.com:19806/8f1da99629564b52ba7ebf7621218671
壹电视综合(農),mitv://generationnexxxt.com:19806/2b36e682b58e4ad391e9b92657353ece
纬来精采(農),mitv://generationnexxxt.com:19806/494e120f435d4da6bbdd81e8e47d4d69
ETtoday综合台(農),mitv://generationnexxxt.com:19806/87a1551a86004305b6cfd947fb0898ef
民视第一台(農),mitv://generationnexxxt.com:19806/b82e864a876e4a99adf62a0f7a797714
民视台湾台(農),mitv://generationnexxxt.com:19806/742c1ff14b4b47d49007cd12204c8483
Nice TV靖天欢乐台(農),mitv://generationnexxxt.com:19806/98a98abaa4ef450aa710ba2f039a08e7
八大优频道(農),mitv://generationnexxxt.com:19806/c856f18bc2c341c1a62efaecf715cb95
三立戏剧台(農),mitv://generationnexxxt.com:19806/3895ac8ec28947a3986879aaaffd940b
龙华戏剧(農),mitv://generationnexxxt.com:19806/955e7726fd614ca882010eedce3fe41f
靖天戏剧台(農),mitv://generationnexxxt.com:19806/3baa9af2462a4ebaaacbff7f0fef72e8
靖洋戏剧台(農),mitv://generationnexxxt.com:19806/1137318be4d5414bbd8dd81b8187154c
靖天日本台(農),mitv://generationnexxxt.com:19806/b44ffe1378b4424e975f518583c4915a
i-Fun动漫台(農),mitv://generationnexxxt.com:19806/5b0acde9dcbf46fdb9022aa9c0e7ccec
韩国娱乐台(農),mitv://generationnexxxt.com:19806/9f533ff19cae4327a3e1a0ab41c8a7ec
星卫娱乐台(農),mitv://generationnexxxt.com:19806/6458c64d000ad5ba5c9b7e10601611bd
ROCK Extreme(農),mitv://generationnexxxt.com:19806/83372f3612d641d5aa2ad1a2073317b8
中视新闻台(農),mitv://generationnexxxt.com:19806/8817421e14dd462f8deede53ce057af1
寰宇新闻台(農),mitv://generationnexxxt.com:19806/644caa69000a86d02d4e808470d2023f
华视新闻(農),mitv://generationnexxxt.com:19806/ab85a40ff8754fe58c6aec3a9768925d
NHK新闻资讯台(農),mitv://generationnexxxt.com:19806/2827343b83c648d08bf066785cf70ad0
美亚电影台HD(農),mitv://generationnexxxt.com:19806/c4cf7dc18295472595398d0ad757ccf1
龙华电影(農),mitv://generationnexxxt.com:19806/cede451738ef405fbb9fd50f010c6e69
星卫HD电影台(農),mitv://generationnexxxt.com:19806/e241d240f66a45adb8be67c8c5cb7edc
靖天映画(農),mitv://generationnexxxt.com:19806/3ee9183e81d7426b9951e42251877c96
靖天电影台(農),mitv://generationnexxxt.com:19806/030b9d54cd424c6ba0d5e8acf16f9769
WARNER TV(農),mitv://generationnexxxt.com:19806/875d0108135e450485fe55ebca3e1a43
Star Movies HD(農),mitv://generationnexxxt.com:19806/bcf382b353a74b509a5ca1354b689efe
AMC最爱电影(農),mitv://generationnexxxt.com:19806/42dc2f449f2c49859e103b0236c34ab1
HBO Family(農),mitv://generationnexxxt.com:19806/ac77e78ed9ea4ff384eaa0de73b75df0
CatchPlay电影台(農),mitv://generationnexxxt.com:19806/7e53298e858e453d8cd89a4f09de4f12
CinemaWorld(農),mitv://generationnexxxt.com:19806/82a4e1f9268245ed93f38fcb17732c8f
壹电视电影台(農),mitv://generationnexxxt.com:19806/c4d7d3c0d08941afa5b11dfa41a74576
采昌影剧台(農),mitv://generationnexxxt.com:19806/46320be49d0f44aea4691fe2cc087bab
佛卫慈悲台(農),mitv://generationnexxxt.com:19806/b1f5e04866ea476786f2d26f1d2f84f7
TV5Monde(農),mitv://generationnexxxt.com:19806/5206358477b44788b15c15f7ad658464
Cbeebies(農),mitv://generationnexxxt.com:19806/cd8a6c94b8fe46cd97a508e0a93b6a71
EYE TV戏剧台(農),mitv://generationnexxxt.com:19806/75e45b2ae9bd4a5fa05906c00742d7a1
台视新闻台(農),mitv://generationnexxxt.com:19806/6458c34b000df71b5c8fbf0c55f221b5
寰宇新闻台湾台(農),mitv://generationnexxxt.com:19806/6458c4bf000411595c95699b34765f35
台视财经台(農),mitv://generationnexxxt.com:19806/6458c34c00065a835c8fc1003c896dab
纬来日本(農),mitv://generationnexxxt.com:19806/83bd0d8db4124c15ad8f88828c6b344b
爱尔达影剧台(農),mitv://generationnexxxt.com:19806/6458c4bf000bb65f5c956b8f6ab30530
ROCK Entertainment(農),mitv://generationnexxxt.com:19806/ef256b49ee4c4b83ad97da453803dde6
民视(备)(農),mitv://generationnexxxt.com:19806/07b465de830f4fb7a7e9b3f826401578
三立台湾台(备)(農),mitv://generationnexxxt.com:19806/f2040a67eec34cb4a65705be966c7f01
Dreamworks(農),mitv://generationnexxxt.com:19806/8b6a297545fb4063ace56e824af32a35
TV5MONDE Style 生活时尚(農),mitv://generationnexxxt.com:19806/d7524c09437e4caf95c37c75d34f5550
Travel Channel(農),mitv://generationnexxxt.com:19806/644e9b240008c0cb34e2da7f6b043e97
影迷数位电影台(農),mitv://generationnexxxt.com:19806/644e9b270003dc3234e2e4fe1d6f0c2b
卫视中文台(農),mitv://generationnexxxt.com:19806/9d38f569252d4317834d6c9a9ae03a32
爱尔达体育1台(農),mitv://generationnexxxt.com:19806/694aae01164f482eae2be66c1255171c
Star Movies Gold(農),mitv://generationnexxxt.com:19806/644e9b27000a398734e2e694611871b6
爱尔达体育3台(農),mitv://generationnexxxt.com:19806/bed0a4b629d149bc90aee0522c633b43
台视(备)(農),mitv://generationnexxxt.com:19806/f7826ceb93174d1f95c677cb053290d8
大爱(备)(農),mitv://generationnexxxt.com:19806/210ccc7869454699884184ab4c6c477d
中视(备)(農),mitv://generationnexxxt.com:19806/4c53fced68824bc1b4e35dbd375e532a
华视(备)(農),mitv://generationnexxxt.com:19806/8a4bfdfe9e844addb903a90141d2fad5
公视(备)(農),mitv://generationnexxxt.com:19806/04efa7fef50b40afa265050107d00bd8
东森新闻台(备)(農),mitv://generationnexxxt.com:19806/d55a0683cbe84a1fb910d10c5e26db2b
镜新闻(農),mitv://generationnexxxt.com:19806/e3e4efe5fc44494eac3a307a9ce46027
Taiwan+(農),mitv://generationnexxxt.com:19806/440274e63a1e4db099c42291fa80f43b
东森购物2台(農),mitv://generationnexxxt.com:19806/44be4ceee59e4f5fb65ec5c2aa672e35
东森购物1台(農),mitv://generationnexxxt.com:19806/cc3ef976a9114c769714c313df7f1faf

CCTV1(農),mitv://generationnexxxt.com:19806/5cb2056ba225422aab04f0ff6c1a1ad9
CCTV2(農),mitv://generationnexxxt.com:19806/1c7a2a5c0c384637bb942eb49cc1e0ee
CCTV3(農),mitv://generationnexxxt.com:19806/18330ef800b2458892c9761dab67e610
CCTV4(農),mitv://generationnexxxt.com:19806/53697021440d41b180890cab9ba1cd96
CCTV5(農),mitv://generationnexxxt.com:19806/0126636bbd494267ae7f17c8abc8521f
CCTV5+(農),mitv://generationnexxxt.com:19806/631fd43e577344b6ab6bd628dfa384ca
CCTV6(農),mitv://generationnexxxt.com:19806/8cf06c01d4a14947a753a183865d1031
CCTV7(農),mitv://generationnexxxt.com:19806/06fccec521bf42c29c0803f7a4c40c03
CCTV8(農),mitv://generationnexxxt.com:19806/890497d5070b48069ec157bbb85e27bf
CCTV9(農),mitv://generationnexxxt.com:19806/bd1be015bfe94e53aab75e8b4a12bfe1
CCTV10(農),mitv://generationnexxxt.com:19806/798b628cc31d4534aa26f8d4a2219fb7
CCTV11(農),mitv://generationnexxxt.com:19806/5cf4c63b2eaf43cd80d6cccbbb9ae91d
CCTV12(農),mitv://generationnexxxt.com:19806/0fccd849c85946e9bed8273fde548d57
CCTV13(農),mitv://generationnexxxt.com:19806/65926086b49b4fc4b6f29aab1d497f35
CCTV14(農),mitv://generationnexxxt.com:19806/bf1a9f45f37f49568953fe97efe2ccb9
CCTV15(農),mitv://generationnexxxt.com:19806/3777f550472d4b91a5bbf76a74580cec
北京卫视(農),mitv://generationnexxxt.com:19806/06648fa4716e4c0f858f936ec55a5b08
天津卫视(農),mitv://generationnexxxt.com:19806/753b5a1ce87949e797618d7a05919c87
河北卫视(農),mitv://generationnexxxt.com:19806/6bafcb082dd348218d7d85a4219c3cf2
黑龙江卫视(農),mitv://generationnexxxt.com:19806/9c0d508f47ff4bdb8182d9f72931cdcc
辽宁卫视(農),mitv://generationnexxxt.com:19806/16cc7a4d3c5b4f16a6ae26097645f201
东方卫视(農),mitv://generationnexxxt.com:19806/ea901b87a24d4699bc2744aba44fd568
江苏卫视(農),mitv://generationnexxxt.com:19806/5d24dd76478f4a5c9ba4bf58121b7839
浙江卫视(農),mitv://generationnexxxt.com:19806/1c7b022796c6442db9dacb809dd1985e
江西卫视(農),mitv://generationnexxxt.com:19806/73d8b834df834d348e21306f662f6fd8
山东卫视(農),mitv://generationnexxxt.com:19806/4713b9f348af4602b007b04aa7f7371a
东南卫视(農),mitv://generationnexxxt.com:19806/d29447aad8d34c8aaf7fad3247b8f768
湖北卫视(農),mitv://generationnexxxt.com:19806/20fd4426b35349bba472cf83b6d22811
湖南卫视(農),mitv://generationnexxxt.com:19806/c6c62463372f446d8b9550fc6a0094c3
深圳卫视(農),mitv://generationnexxxt.com:19806/a362a0ab6e614f3281dc0603db0939a2
广东卫视(農),mitv://generationnexxxt.com:19806/74940f44e1ab4fc9930f2f70d965b63a
广西卫视(農),mitv://generationnexxxt.com:19806/e86220d9f377476c9275764703a4e851
重庆卫视(農),mitv://generationnexxxt.com:19806/7d56bafbc2844258adc01c63005510f4
云南卫视(農),mitv://generationnexxxt.com:19806/b7b315110bef49df9300ae68ec1e5143
星空卫视(農),mitv://generationnexxxt.com:19806/ea86987738b4465482e6f2a122a6b3f8
广东南方卫视(農),mitv://generationnexxxt.com:19806/317cfdadd6a74317872a42c84b06f6db
珠江台(農),mitv://generationnexxxt.com:19806/681ace4bfde14460a9402f15a7be6985
动漫秀场(農),mitv://generationnexxxt.com:19806/1911ce1f1cf04f269fdd327c6e17f990
魅力足球(農),mitv://generationnexxxt.com:19806/4f8ae19901604006bdf0708826db9862
五星体育(農),mitv://generationnexxxt.com:19806/951eda934cf3474d99e84a3ec47648fa
广东体育(農),mitv://generationnexxxt.com:19806/40756b3aa47d49eea062f4bf845eb660
CHC动作电影(農),mitv://generationnexxxt.com:19806/b0a0d2f361f04b429a3185b04b6f7667
CCTV16(農),mitv://generationnexxxt.com:19806/c2001475104d47b9815a8c3e5e73a761
广东影视(農),mitv://generationnexxxt.com:19806/1aeb81d7fa6445348a1765a94ee2ba2c
CHC高清电影(農),mitv://generationnexxxt.com:19806/e27bf51377e2485cb8a7e59c05b24848
CHC家庭影院(農),mitv://generationnexxxt.com:19806/bbe8e8a94b974d27a3503380b5b934ce
港台電視31(農),mitv://generationnexxxt.com:19806/5c7ff8bb2e0349cdab492d5aea25ff3c
港台电视32(農),mitv://generationnexxxt.com:19806/afa315c3220e4a3898e3e2b3beca6ac7
HOY TV(農),mitv://generationnexxxt.com:19806/e77cb31fe80747d298ef0d2d9c919f07
﻿翡翠台(备)(農),mitv://generationnexxxt.com:19806/03b76f07cea3474a913541c586fc0747
J2(農),mitv://generationnexxxt.com:19806/1d7353774ff645bcbca9f9d5538c4ba7
无线新闻台(备)(農),mitv://generationnexxxt.com:19806/fee4b6f52177485c870f9389d95a8801
无线新闻台(農),mitv://generationnexxxt.com:19806/3a672ec917d7460298a680a217f7dd73
无线财经·资讯台(農),mitv://generationnexxxt.com:19806/a2c94bb395ca47a095859dc72d106a2e
ViuTVsix(農),mitv://generationnexxxt.com:19806/c4c1c3b894794541baf86612a8c8ce33
ViuTV(農),mitv://generationnexxxt.com:19806/894e66f1d02e423f9d6726108942dcf1
凤凰中文台(農),mitv://generationnexxxt.com:19806/645385720009117848161b4e340f749d
凤凰资讯台(農),mitv://generationnexxxt.com:19806/0b7958cc2d1c4a6f9f9449e92ad92b9e
凤凰香港台(農),mitv://generationnexxxt.com:19806/b70e94e7ac144bf585ad3bb140833c64
TVB星河(粤)(農),mitv://generationnexxxt.com:19806/18d7387cc825496db789bbfa731a5707
阳光卫视(農),mitv://generationnexxxt.com:19806/2248ad425a574167b4c28e6378071e2e
澳门-MACAU(農),mitv://generationnexxxt.com:19806/c387d27336de4557b3dbe76999c5d9e5
澳门莲花(農),mitv://generationnexxxt.com:19806/bba45ad672ed40a9b433330c4839cfe2
now新闻台(農),mitv://generationnexxxt.com:19806/d7d8ced83c694ee09eda089b554d9dc5
HKC电影台(農),mitv://generationnexxxt.com:19806/f64b49e3829e4fe2bf948a18b19c5a98
凤凰电影台(農),mitv://generationnexxxt.com:19806/2df8c6787b0a4f08bee3dcccd49aef8b
HKC新闻台(農),mitv://generationnexxxt.com:19806/a30ba03ec986438088e5748c21ac1f5b
HKC财经资讯台(農),mitv://generationnexxxt.com:19806/eaa39196584e4c4eaeda40279785dfc6
HKC 18(農),mitv://generationnexxxt.com:19806/2ea5b3599fc94ffbaf94bcec0b1a436d
HKC 603(農),mitv://generationnexxxt.com:19806/2141e79414314275a21c96d6b9a74933
HKC體育台(農),mitv://generationnexxxt.com:19806/edd0e12a6a464363a6bf754f4ecc0b99
HKC Sports Plus 1(農),mitv://generationnexxxt.com:19806/82f71e9986084c86a85807f6fa9ab8a5
HKC综合娱乐台(農),mitv://generationnexxxt.com:19806/aedac82c51ca473aafe301199d9a07eb
TVB娱乐新闻台(農),mitv://generationnexxxt.com:19806/8378c6ce158144038e684ac97d498273
翡翠台(農),mitv://generationnexxxt.com:19806/81b536090b5b4d93a4e4af0755a854e8
TVB经典台(農),mitv://generationnexxxt.com:19806/d63e2f53bfab45a5ab38e79430862268
Thrill(農),mitv://generationnexxxt.com:19806/14f535a7ec5a4939a67e7165f94ca38e
明珠台(農),mitv://generationnexxxt.com:19806/24e912a5d830431fbd5d9ca1792be9de
18台(農),mitv://generationnexxxt.com:19806/5b5b0e8be20b431281382660b7d67906
HKC Sports Plus 3(農),mitv://generationnexxxt.com:19806/a27709fdfa574a5f9ca52c490a37435b
功夫台(华语)(農),mitv://generationnexxxt.com:19806/9b42b669a2c549abbfc8f0320197dc12
美亚电影台(粤语)(農),mitv://generationnexxxt.com:19806/64550dca000ac0cf4e12b37b0be73efc
Hands Up(農),mitv://generationnexxxt.com:19806/6f319c6a8c154eeeb7aeb9a2c0767b8a
粤语片台(農),mitv://generationnexxxt.com:19806/438531070655458b8e07cad61e518d7b
亚洲剧台(農),mitv://generationnexxxt.com:19806/9d60d2f9f6fa4a368fbe457f8efad108
功夫台(農),mitv://generationnexxxt.com:19806/38667b93f8a54258b8871fb0ede52a5b
HOY资讯台(農),mitv://generationnexxxt.com:19806/70b4e795ea654fb5bad399c2268c2fed
CNN(農),mitv://generationnexxxt.com:19806/3745a94cbe904b9480d19a1b5dfc6275
TV1(農),mitv://generationnexxxt.com:19806/519780d62c50468ab76f627c2b504945
TV2(農),mitv://generationnexxxt.com:19806/e1eb0543c47f4805b26c905827887846
TV3(農),mitv://generationnexxxt.com:19806/f25a43aee7684d298bd15700407d91a8
NTV7(農),mitv://generationnexxxt.com:19806/2a40059537f84018be629529e49148e8
八度空间(農),mitv://generationnexxxt.com:19806/e730b11a6f444493937e91bf7a45f747
TV9(農),mitv://generationnexxxt.com:19806/8ea2c8ff4dee4f88b641126386d3f885
Astro Oasis HD(農),mitv://generationnexxxt.com:19806/bf82734debfb40e19e42098b957d6714
Astro Warna HD(農),mitv://generationnexxxt.com:19806/349803c1885b42e1b7d4342f6900c19e
