1.Youtube_123,#genre#
GTV DRAMA,https://ytm2.yuanhsing.cf/GTVDRAMA.m3u8
Formosa TV Dramas,https://ytm2.yuanhsing.cf/FTVDRAMA.m3u8
CTS SHOW,https://ytm2.yuanhsing.cf/TBSCTSSHOW.m3u8
Faintv VARIETY1,https://ytm2.yuanhsing.cf/AsiaDigitalMedia.m3u8
Faintv VARIETY2,https://ytm2.yuanhsing.cf/Faintv.m3u8
CTITV News,https://ytm2.yuanhsing.cf/ctitv.m3u8
EBC,https://ytm2.yuanhsing.cf/newsebc.m3u8
EBC Financial,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
TVBS Global News,https://ytm2.yuanhsing.cf/TVBSNEWS01.m3u8
Global News TV,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
mnews,https://ytm2.yuanhsing.cf/mnews.m3u8
TTV News,https://ytm2.yuanhsing.cf/ttvnewsview.m3u8
CTV News,https://ytm2.yuanhsing.cf/twctvnews.m3u8
Tzu Chi DaAiVideo,https://ytm2.yuanhsing.cf/DaAiVideo.m3u8
SETN Live News,https://ytm2.yuanhsing.cf/SETN.m3u8
SET+ Live News,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
SET iNEWS,https://ytm2.yuanhsing.cf/setmoney159.m3u8
Formosa Live News,https://ytm2.yuanhsing.cf/FTVLIVE.m3u8
Formosa TV News,https://ytm2.yuanhsing.cf/FTVCP.m3u8

2.虎牙,#genre#
【七龙珠改】超级赛亚人孙捂空,https://epg.112114.xyz/huya/11601966
【Blue胖】你看得到我的腿吗,https://epg.112114.xyz/huya/11601963
【海绵宝宝】黄方块的爆笑生活~,https://epg.112114.xyz/huya/11352919
【猫和老鼠】汤姆和杰瑞的故事,https://epg.112114.xyz/huya/11352879
搞笑的一家人,https://epg.112114.xyz/huya/11342402
路飞带领大家向顶上前进,https://epg.112114.xyz/huya/16913382
【中华小当家】看的我口水直流～,https://epg.112114.xyz/huya/11342413
茶啊二中,https://epg.112114.xyz/huya/11213191
灵剑山·试炼开启,https://epg.112114.xyz/huya/11352896
乐高大师赛！创意惊人,https://epg.112114.xyz/huya/26355776
小时候玩不起的超帅玩具,https://epg.112114.xyz/huya/26355832
成龙历险记·社会我阿福乌鸦坐飞机,https://epg.112114.xyz/huya/11352946

3.斗鱼,#genre#
【RM-点播】点播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/131977
【RM-轮播】轮播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/7298973
✨✨✨计划！五一节の快乐✨✨✨,http://epg.112114.xyz/douyu/7528160
【回首往事】仨房间画面同步显示,http://epg.112114.xyz/douyu/1569773
大星与海绵方块,http://epg.112114.xyz/douyu/3949681
美味！蟹黄堡,http://epg.112114.xyz/douyu/8762358
【猫和老鼠】汤姆和杰瑞童年回忆,http://epg.112114.xyz/douyu/7888428
【柯南】外表看似小孩，智慧却过于常人,http://epg.112114.xyz/douyu/6484910
江户川柯南，是一个蒸蛋。,http://epg.112114.xyz/douyu/5377297
万年如一柯播南，各位给点电费吧,http://epg.112114.xyz/douyu/1783144
【三笠】根本不存在解不开的迷！,http://epg.112114.xyz/douyu/7050342
【超级赛亚人】悟吉塔,http://epg.112114.xyz/douyu/7190773
草帽丶海贼团的直播间,http://epg.112114.xyz/douyu/997925
【Hunter】动漫热血老贼冒险,http://epg.112114.xyz/douyu/6610883
少女与半妖,http://epg.112114.xyz/douyu/7422897
宝可梦加油。感谢大家。,http://epg.112114.xyz/douyu/9765742
星矢-燃烧吧我的小宇宙,http://epg.112114.xyz/douyu/8458270
松开的手0.0,http://epg.112114.xyz/douyu/10210568
浦饭幽游藏马飞影桑原,http://epg.112114.xyz/douyu/9938431
【童年往事】仨房间画面同步显示点播,http://epg.112114.xyz/douyu/7256376
✨妖精的直播间✨,http://epg.112114.xyz/douyu/5960746
【天使点播】动漫直播间,http://epg.112114.xyz/douyu/1487654
【动漫】超燃怀旧经典,http://epg.112114.xyz/douyu/1174353
✨动漫✨热血木叶忍者草帽路飞青春,http://epg.112114.xyz/douyu/206858
#,http://epg.112114.xyz/douyu/9429545
【动画电影】童年回忆,http://epg.112114.xyz/douyu/10395973
【星星动画】童年热血搞笑爱情,http://epg.112114.xyz/douyu/4369939
【追忆】国语超清动画电影,http://epg.112114.xyz/douyu/6449849
♥卡面来打♥,http://epg.112114.xyz/douyu/1218414
【动漫】24小时不间断动漫专场,http://epg.112114.xyz/douyu/7493575
老爹:还有一件事,http://epg.112114.xyz/douyu/7134757
开心锤锤，开心快乐每一天！,http://epg.112114.xyz/douyu/9018297
舔狗波比的幸福生活,http://epg.112114.xyz/douyu/7620081
最好看的搞笑篮球动漫,http://epg.112114.xyz/douyu/9401305
【动漫】记录你的王者峡谷生活~,http://epg.112114.xyz/douyu/9360149
【小叮当】童年经典动画片,http://epg.112114.xyz/douyu/9445279
中二日记搞笑日常更新,http://epg.112114.xyz/douyu/9505575
动漫推荐官方直播间,http://epg.112114.xyz/douyu/5187099
【经典动漫】9455567,http://epg.112114.xyz/douyu/9455567
鲁过一世的直播间,http://epg.112114.xyz/douyu/9716515
铁头与橘子（每周更新一起看霸总）,http://epg.112114.xyz/douyu/9450942
笑出腹肌动漫0,http://epg.112114.xyz/douyu/8380708
【神剧】经典神剧,http://epg.112114.xyz/douyu/3700024
【贝爷MAX厅】科幻动作经典喜剧,http://epg.112114.xyz/douyu/4332
【贝爷影厅】经典科幻动作灾难巨兽,http://epg.112114.xyz/douyu/252802
【女神金】60帧极致蓝光刀刀陪看,http://epg.112114.xyz/douyu/747764
【西游】由爱故生怨，怨恨交缠，那又何苦,http://epg.112114.xyz/douyu/9518204
狄仁杰：想听听我的故事吗,http://epg.112114.xyz/douyu/674441
【牛叔】N分钟带你看完大片,http://epg.112114.xyz/douyu/2758565
【科幻Fans】精彩科幻影视，解说连连看,http://epg.112114.xyz/douyu/3508304
最新奇幻电影解说-宇宙无敌韩三金,http://epg.112114.xyz/douyu/3194372
海绵与大星直播间,http://epg.112114.xyz/douyu/2250349
斗鱼HD1,http://epg.112114.xyz/douyu/2901080
斗鱼HD2,http://epg.112114.xyz/douyu/8144937
斗鱼科普HD1,http://epg.112114.xyz/douyu/9317739
斗鱼科普HD2,http://epg.112114.xyz/douyu/9447974
斗鱼科普HD3,http://epg.112114.xyz/douyu/9369468
斗鱼科普HD4,http://epg.112114.xyz/douyu/9738854
斗鱼科普HD5,http://epg.112114.xyz/douyu/9385288
斗鱼科普HD6,http://epg.112114.xyz/douyu/8434598
斗鱼科普HD7,http://epg.112114.xyz/douyu/7357786
斗鱼电影HD20,http://diyp.112114.xyz/douyu/8663752
斗鱼电影HD24,http://diyp.112114.xyz/douyu/8770422
斗鱼电影HD25,http://diyp.112114.xyz/douyu/2436390
斗鱼电影HD28,http://diyp.112114.xyz/douyu/36337
斗鱼电影HD39,http://diyp.112114.xyz/douyu/315131
斗鱼电视剧HD2,http://diyp.112114.xyz/douyu/96577

4.歪歪,#genre#
YY|林正英搞笑僵尸,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351505899
YY|英叔全集电影,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353685311
YY|【林正英】鬼片,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=34229877
YY|英叔全集经典鬼片,http://106.53.212.251/daili/yy.php?id=1354869861
YY|好片看不停,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=28205255
YY|狄仁杰1-4部,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351755386
YY|香港搞笑鬼片,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1352227227
YY|电影 超好看,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=29460894
YY|神探狄仁杰,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=38338029
YY|亮剑,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353392400
YY|天龙八部,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351814644
YY|24小时蓝光片,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=24066336
YY|【电影】超然巨作,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=26623173
YY|【电视剧,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1453059740
YY|电视剧,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=29216766
YY|雍正王朝,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=26650882
YY|鹿鼎记高清经典,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=28265277
YY|【动画】斗罗斗破超清,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=28796627
YY|战争军事,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353426319
YY|神雕侠侣倚天屠龙,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351762426
YY|那些年[动画],http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351417866
YY|武侠玄幻,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=28099939
YY|隋唐英雄,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1352475619
YY|高分好看电影,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353312849
YY|燕双鹰专场,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1352227153
YY|国产玄幻,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1354143978
YY|欧美科幻,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=37988782
YY|【欧美电影】全程,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=29170933
YY|顶级欧美电影,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=24923327
YY|林正英鬼500部,http://106.53.212.251/daili/yy.php?id=1353059120
YY|【林正英叔经典,http://106.53.212.251/daili/yy.php?id=1353685311
YY|【林正英经典,http://106.53.212.251/daili/yy.php?id=1351505899
YY|【林正英相亲 交友 聊,http://106.53.212.251/daili/yy.php?id=24066336
YY|【鹿鼎记】 高清经典,http://106.53.212.251/daili/yy.php?id=28265277
YY|【新三国】萌儿陪看,http://106.53.212.251/daili/yy.php?id=29216766
YY|【斗罗斗破】动画全,http://106.53.212.251/daili/yy.php?id=1353098382
YY|雍正王朝』,http://106.53.212.251/daili/yy.php?id=26650882
YY|帝艺港剧 悬疑 破案,http://106.53.212.251/daili/yy.php?id=1350670730
YY|家有儿女,http://106.53.212.251/daili/yy.php?id=1353085648
YY|元芳你怎么看,http://106.53.212.251/daili/yy.php?id=1351755386
YY|『神雕侠侣倚天屠龙,http://106.53.212.251/daili/yy.php?id=1351762426
YY|『燕双鹰专场,http://106.53.212.251/daili/yy.php?id=1352227153

5.记录,#genre#
美国 | 狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
中国美食,http://39.135.138.58:18890/PLTV/88888888/224/3221225924/index.m3u8
动物世界,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/2eba7ee3659b4caf86b40d51a1752d6c/1200.m3u8
人与自然,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1425e1d505654cb48ba82b807b221193/1200.m3u8
自然传奇,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/81a1ad3a661748bfb8560c92d38204ca/1200.m3u8
探索发现,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/25137bd7c4494128bf0cba271974928f/1200.m3u8
地理中国,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/c6baf6f74bb944aeacee1065ea72c798/1200.m3u8
大太平洋,http://hls.cntv.kcdnvip.com/asp/hls/4000/0303000a/3/default/2d7f4eeaed2e4ad080bcf324eb21bc0d/4000.m3u8
地球脉动第一季,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/7a3423af02284c3db48b854ab646993f/850.m3u8
生命脉动,http://hls.cntv.myhwcdn.cn/asp/hls/850/0303000a/3/default/c481b5826ffc4e99a92e01704c862dbc/850.m3u8
飞碟之谜01,https://hls.cntv.lxdns.com/asp/hls/2000/0303000a/3/default/f0a47e155d32450daa1d36a04fd7d262/2000.m3u8
飞碟之谜02,https://newcntv.qcloudcdn.com/asp/hls/2000/0303000a/3/default/d2454bbb542d4613a9db478dab2addfd/2000.m3u8
美丽中国说,http://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8cdd688b04e4495ba1635e218419d6f9/4000.m3u8
美丽中国自然,http://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/51d937a0201f4c78a5878b4b37089f3b/4000.m3u8
乘着火车看中国,http://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/2b0f397ed9d948eb9fac38d73cde241b/4000.m3u8
航拍中国第一季,http://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8edf3fb6a69148ea9a7dc0b5a9d99fdb/4000.m3u8
航拍中国第二季,http://newcntv.qcloudcdn.com/asp/hls/4000/0303000a/3/default/2bdfdad540b342f592f9817cb7f3b79a/4000.m3u8
航拍中国第三季,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/18a8a559464448dbaf60d33913e09aea/1200.m3u8
梵净山,http://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/b9571df1181c4422a83901e827519fe6/4000.m3u8
中国村庄,http://newcntv.qcloudcdn.com/asp/hls/4000/0303000a/3/default/93fc12dbf14241c18c23da104fbade23/4000.m3u8
国际地理ABU,http://admdn2.cdn.mangomolo.com/nagtv/smil:nagtv.stream.smil/chunklist_b1800000_t64NzIwcA==.m3u8

6.健身,#genre#
中老年串烧健身操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c45rttjc77udta5dvu00&ratio=720p&line=0
经络拍打操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c35t8nbc77u55ihupkog&ratio=720p&line=0
烟雨人间,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c5gmmkrc77u2004p1gjg&ratio=720p&line=0
别知己,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300ff50000bvg3793ar1psfbavtc4g&ratio=720p&line=0
踏浪,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300f8d0000bs2q0hu9hhglenjnqs3g&ratio=720p&line=0
刘畊宏热身运动,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9oc1fbc77ua9etrl5jg&ratio=720p&line=0,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9mhl6bc77uadapafh1g&ratio=720p&line=0
刘畊宏拉伸运动,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9mhl6bc77uadapafh1g&ratio=720p&line=0
刘畊宏手臂燃脂操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9ob6nrc77u2f4624og0&ratio=720p&line=0
刘畊宏腿部燃脂,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9oc42jc77u47aubmvcg&ratio=720p&line=0
刘畊宏欢乐完整毽子操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9obtp3c77ub1rhbisng&ratio=720p&line=0
刘畊宏阳光宅男毽子操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9oauijc77u5p5f0jd90&ratio=720p&line=0
暴汗龙拳毽,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c9gut8jc77ubd80jgue0&ratio=720p&line=0
周大侠拳击健身操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9lk2rjc77u8aee7e6fg&ratio=720p&line=0
草原抖肩操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9pa7hbc77u4hhksos6g&ratio=720p&line=0
牛仔很忙甩手操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c9p42sbc77ucrcuriocg&ratio=720p&line=0
摇摆扭扭瘦全身,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9obuorc77u4lnv0q4qg&ratio=720p&line=0
养生迪斯科,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c9p4qijc77u58a71kib0&ratio=720p&line=0
酒醉的蝴蝶,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fdd0000bvg38vh118ajc451nqe0&ratio=720p&line=0
16分钟广场舞,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c5p8qdbc77uat7rec09g&ratio=720p&line=0
肩颈健身操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c59du7rc77u0irv8pkf0&ratio=720p&line=0
饭后消食健身操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c4ovj4jc77ucpcnp8nig&ratio=720p&line=0
腰腹部减肥餐,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c436ip3c77u4a4hnf38g&ratio=720p&line=0
中老年三高健身操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c2b59vbc77uemnrq0tbg&ratio=720p&line=0
寒湿排毒操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fg10000c295vj3c77ueik354gsg&ratio=720p&line=0
有氧运动30分钟,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300f5e0000c1mncjrdi719v50hpfi0&ratio=720p&line=0
欢乐拍打操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200f470000c0f6psefv45p9ff423fg&ratio=720p&line=0
30分钟经络拍打操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fdb0000c040hnqvjkc5aq3c22mg&ratio=720p&line=0
扭腰减肚子,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200ffd0000bv7larpt4rmmsdfk6dj0&ratio=720p&line=0
暴汗减脂30分钟,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300f170000buvnnvs2p0cnffmujbng&ratio=720p&line=0
扭腰减腹,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200f6b0000bunqt30gbd6nlp8293h0&ratio=720p&line=0
中老年先慢后快30分钟,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fcb0000c1hekmjl84602lkn91i0&ratio=720p&line=0
小苹果,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300f170000bv11vek2p0cnffn52b6g&ratio=720p&line=0
狂狼,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fe70000btm729boblm0jkodoqsg&ratio=720p&line=0
九妹,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fd70000bto626ntchf8ugq0om9g&ratio=720p&line=0
公虾米,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300f980000bsc0ukm75ha462p7c4t0&ratio=720p&line=0
朋友这杯酒,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fdc0000c0qdks6rerid486a9ka0&ratio=720p&line=0
愿做佛前一朵莲,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200f520000c0qdkrddmjjtbb7v2lfg&ratio=720p&line=0
好运来,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300fb80000bvqp85b0imr96sqvn6bg&ratio=720p&line=0
红马鞍,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300f430000bt7212q287m1nsj5fqr0&ratio=720p&line=0
江湖酒,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fc90000buofqkvrefoatkcl7b5g&ratio=720p&line=0
简单健身广场舞,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0d00faa0000buqf80t8otd86mpvku4g&ratio=720p&line=0
听心,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300f9d0000c08olvgmk6mv5ladsgmg&ratio=720p&line=0
红尘情歌,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200fg10000c455oqjc77u7h8habu50&ratio=720p&line=0
耶耶耶耶耶,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200f010000burpmq4l11acsh6pv9e0&ratio=720p&line=0
武阿哥三套跳操,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200f770000btamob9eqtk9503op6o0&ratio=720p&line=0
夜夜夜太长,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0300f440000c0b6s22qvj8ucjhu8g70&ratio=720p&line=0
简单健身操,https://alimov2.a.kwimgs.com/upic/2022/05/08/06/BMjAyMjA1MDgwNjMyMDhfNjQ0NDczOTE1XzczOTAzNDgzMTYxXzJfMw==_b_Bedf9aef86b6091dc8184067ff6f22a9a.mp4?clientCacheKey=3xsdaq9pfzbuc3a_b.mp4&tt=b&di=75880644&bp=13380
浪漫樱花,https://alimov2.a.kwimgs.com/upic/2022/04/20/23/BMjAyMjA0MjAyMzExMDJfMjM4MDU2OTQ2M183MjUzODQwOTk5OF8wXzM=_b_Bcf1fdf18b8bf88935247d9cb6ae0f185.mp4?clientCacheKey=3x7urdnuagcbwjc_b.mp4&tt=b&di=75880644&bp=10000
太极拳24式,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0d00fg10000c6msp2jc77uboofv4ktg&ratio=720p&line=0
陈式太极拳26式,https://aweme.snssdk.com/aweme/v1/playwm/?video_id=v0200f430000c1f9kan88pqticj6hia0&ratio=720p&line=0

7.️裸眼3D,#genre#
3D0,https://vd2.bdstatic.com/mda-kfhr50vjwtmttwxc/v1-cae/sc/mda-kfhr50vjwtmttwxc.mp4
3D1,https://vd4.bdstatic.com/mda-mdfijn4crxseyky0/1080p/cae_h264/1618549960/mda-mdfijn4crxseyky0.mp4
3d4,https://vd2.bdstatic.com/mda-kmtfv6y5gctpa35w/sc/mda-kmtfv6y5gctpa35w.mp4
混剪3D,https://vd3.bdstatic.com/mda-kksk814vwc1m06av/sc/mda-kksk814vwc1m06av.mp4
头号玩家,https://vd2.bdstatic.com/mda-kknwdmibvdrfaavv/v1-cae/1080p/mda-kknwdmibvdrfaavv.mp4
变形金刚1,https://vd3.bdstatic.com/mda-khb9j4g6c25biyqj/v1-cae/1080p/mda-khb9j4g6c25biyqj.mp4
精美,https://vd4.bdstatic.com/mda-mjak88esahdcpmc5/1080p/cae_h264/1633962937397290860/mda-mjak88esahdcpmc5.mp4
变形金刚UHD,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/720p/h264_delogo/1649341231263414752/mda-nd6k8tnavw6sj0a5.mp4
变形金刚LD,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/1080p/cae_h264_delogo/1649341416696755483/mda-nd6k8tnavw6sj0a5.mp4
变形金刚2K,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/qhd/cae_h264_delogo/1649341416716222901/mda-nd6k8tnavw6sj0a5.mp4
变形金刚4K,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/uhd/cae_h264_delogo/1649341416749683469/mda-nd6k8tnavw6sj0a5.mp4
Bicycle,https://vd2.bdstatic.com/mda-mbirabhun6n01ucc/v1-cae/1080p/mda-mbirabhun6n01ucc.mp4
玩家,https://vd3.bdstatic.com/mda-kbhkh7z58qvsn0a1/mda-kbhkh7z58qvsn0a1.mp4
钢铁侠,https://vd4.bdstatic.com/mda-narbupksqbu5yyiy/sc/cae_h264_nowatermark_delogo/1643187081773112317/mda-narbupksqbu5yyiy.mp4
龙腾虎跃,https://vd2.bdstatic.com/mda-nb48vhn84vq41zf3/1080p/cae_h264_delogo/1644042257215201305/mda-nb48vhn84vq41zf3.mp4
终结者,https://vd3.bdstatic.com/mda-jk1hupziz0524rq1/mda-jk1hupziz0524rq1.mp4
AA,https://vd3.bdstatic.com/mda-mfnc43q5ngnzua6p/sc/cae_h264/1624437508830556235/mda-mfnc43q5ngnzua6p.mp4
Dreamcatcher,https://vd3.bdstatic.com/mda-mbiqgzsnfeyv74y6/v1-cae/1080p/mda-mbiqgzsnfeyv74y6.mp4
东京-新宿,https://vd4.bdstatic.com/mda-na6metzpvv5xqh6h/1080p/cae_h264/1641623274673701803/mda-na6metzpvv5xqh6h.mp4
大片3D,https://vd2.bdstatic.com/mda-ki2cvyhz79rw40wg/v1-cae/sc/mda-ki2cvyhz79rw40wg.mp4
小丑,https://vd2.bdstatic.com/mda-jkbrts1znp07ryb8/sc/mda-jkbrts1znp07ryb8.mp4
X战警：黑凤凰,https://vd2.bdstatic.com/mda-jetjizur4bnmfux8/hd/mda-jetjizur4bnmfux8.mp4
长津湖,https://vd3.bdstatic.com/mda-mgq3kek3j2cr07w7/sc/cae_h264_nowatermark/1627180666806871183/mda-mgq3kek3j2cr07w7.mp4
司藤,https://vd4.bdstatic.com/mda-nae2xzfan0zk06f7/sc/cae_h264_delogo/1642265942028031063/mda-nae2xzfan0zk06f7.mp4
星球大战9,https://vd3.bdstatic.com/mda-ndfj480755j9juhe/cae_h264_delogo/1650116825326935651/mda-ndfj480755j9juhe.mp4
MV,https://vd4.bdstatic.com/mda-kmbika46ppvf7nzc/v1-cae/1080p/mda-kmbika46ppvf7nzc.mp4
