MTV点歌67,#genre#
陈明真-宝贝我的心,http://em.21dtv.com/songs/60010000.mkv
阿牛-宝贝我的宝,http://em.21dtv.com/songs/60074623.mkv
王力宏-不必问别人,http://em.21dtv.com/songs/60011005.mkv
尤静波+高歌+尤圣斯-爸爸我爱你,http://em.21dtv.com/songs/60125447.mkv
1314组合-宝贝我爱你,http://em.21dtv.com/songs/60109072.mkv
郭力凡-宝贝我爱你,http://em.21dtv.com/songs/60097606.mkv
李嘉-爸爸我爱你(无原唱),http://em.21dtv.com/songs/60095608.mkv
韩光-宝贝我爱你,http://em.21dtv.com/songs/60082590.mkv
钟木清-宝贝我爱你,http://em.21dtv.com/songs/60070523.mkv
游美灵-宝贝我爱你,http://em.21dtv.com/songs/60070522.mkv
苏晴-宝贝我爱你,http://em.21dtv.com/songs/60066854.mkv
MOJO乐团-宝贝我爱你,http://em.21dtv.com/songs/60009999.mkv
佚名-爸爸我爱你(无原唱),http://em.21dtv.com/songs/60009636.mkv
青春美少女-不必太在意,http://em.21dtv.com/songs/60074717.mkv
童安格-不必太在意,http://em.21dtv.com/songs/60011002.mkv
童唱-棒棒糖真棒,http://em.21dtv.com/songs/60009940.mkv
佚名-爸爸叨位去(探戈),http://em.21dtv.com/songs/60009614.mkv
林展逸-本本是英雄,http://em.21dtv.com/songs/60010322.mkv
陈晓东-不必说感谢,http://em.21dtv.com/songs/60011001.mkv
关淑怡-不必说爱我,http://em.21dtv.com/songs/60092319.mkv
佚名-爸爸亲像山,http://em.21dtv.com/songs/60095432.mkv
杨宗宪-爸爸亲像山,http://em.21dtv.com/songs/60041940.mkv
于洋-宝贝亲吻你,http://em.21dtv.com/songs/60127718.mkv
荣联合-宝贝亲亲我,http://em.21dtv.com/songs/60084885.mkv
群星-爸爸去哪儿,http://em.21dtv.com/songs/60129497.mkv
叶圣涛+First Girl-爸爸去哪儿,http://em.21dtv.com/songs/60125264.mkv
华语群星-宝贝去哪儿,http://em.21dtv.com/songs/60097605.mkv
阿摩司-爸爸去哪儿,http://em.21dtv.com/songs/60094325.mkv
群星-爸爸去哪儿,http://em.21dtv.com/songs/60086445.mkv
群星-爸爸去哪儿(天驰),http://em.21dtv.com/songs/60081803.mkv
ASOS-兵变情不变,http://em.21dtv.com/songs/60090392.mkv
S.O.S-兵变情不变(无原唱),http://em.21dtv.com/songs/60010864.mkv
赵小南-宝贝你最美,http://em.21dtv.com/songs/60061043.mkv
张洪涛-宝贝你别哭,http://em.21dtv.com/songs/60114544.mkv
张津涤+香香-宝贝麦西西,http://em.21dtv.com/songs/60109318.mkv
邓丽君-别把眉儿皱,http://em.21dtv.com/songs/60010565.mkv
杨林-别把梦带走,http://em.21dtv.com/songs/60088072.mkv
黄卓-八百里洞庭,http://em.21dtv.com/songs/60009457.mkv
沈世爱-半杯苦咖啡,http://em.21dtv.com/songs/60009844.mkv
纪晓斌-宝贝结婚吧,http://em.21dtv.com/songs/60070521.mkv
那仁格日勒-不白活一回,http://em.21dtv.com/songs/60090244.mkv
毛阿敏-不白活一回,http://em.21dtv.com/songs/60010988.mkv
童唱-爸爸回来了,http://em.21dtv.com/songs/60009621.mkv
群星-宝贝 回家,http://em.21dtv.com/songs/60113947.mkv
大小姐-bling bling 过新年,http://em.21dtv.com/songs/60000614.mkv
佚名-爸爸的祝福,http://em.21dtv.com/songs/60009620.mkv
刘欢-爸爸的祝福,http://em.21dtv.com/songs/60009619.mkv
王绎龙-不变的音乐,http://em.21dtv.com/songs/60065856.mkv
陈利-芭比的眼泪,http://em.21dtv.com/songs/60110611.mkv
刘东桦-扁扁的月亮,http://em.21dtv.com/songs/60010481.mkv
刘萱萱-不别的约定,http://em.21dtv.com/songs/60096204.mkv
柯以敏+黑楠-不变的约定(演唱会),http://em.21dtv.com/songs/60011018.mkv
倪睿思-百变的选择,http://em.21dtv.com/songs/60009766.mkv
腾格尔-不变的乡恋,http://em.21dtv.com/songs/60068129.mkv
林依婷-爸爸的雪花,http://em.21dtv.com/songs/60074578.mkv
张海-不必的问候,http://em.21dtv.com/songs/60068128.mkv
李克勤-不必对我好,http://em.21dtv.com/songs/60010995.mkv
陈岩+青鸟-不变的誓言,http://em.21dtv.com/songs/60074718.mkv
涓子-不变的守候,http://em.21dtv.com/songs/60080600.mkv
正云-不变的情缘,http://em.21dtv.com/songs/60124174.mkv
陈心蕊+龙飞-爸爸的情话,http://em.21dtv.com/songs/60130840.mkv
吕继宏-爸爸的牵挂,http://em.21dtv.com/songs/60102024.mkv
黑龙-不变的情歌,http://em.21dtv.com/songs/60011014.mkv
袁春雷-别把毒品摸,http://em.21dtv.com/songs/60068119.mkv
黄品戬-不变的诺言,http://em.21dtv.com/songs/60069262.mkv
李玟-不变的诺言,http://em.21dtv.com/songs/60011013.mkv
徐若瑄-不败的恋人,http://em.21dtv.com/songs/60010989.mkv
王宏恩-瀑布的恋情,http://em.21dtv.com/songs/60090083.mkv
佚名-不变的浪漫,http://em.21dtv.com/songs/60011012.mkv
李娅莎+阿媚-爸爸的脚印,http://em.21dtv.com/songs/60120616.mkv
王诗龄+Kimi+天天+石头-爸爸的假期,http://em.21dtv.com/songs/60109543.mkv
比比-比比的海洋(无原唱),http://em.21dtv.com/songs/60010370.mkv
小曾+周亮-爸爸的村庄,http://em.21dtv.com/songs/60009617.mkv
佚名-爸爸的草鞋,http://em.21dtv.com/songs/60009616.mkv
叶住修-爸爸的草鞋,http://em.21dtv.com/songs/60009615.mkv
李宥承-不变的承诺,http://em.21dtv.com/songs/60098461.mkv
陈茂丰-爸爸的背影,http://em.21dtv.com/songs/60111501.mkv
圆圆-爸爸的背影,http://em.21dtv.com/songs/60100801.mkv
草蜢-宝贝对不起,http://em.21dtv.com/songs/60009993.mkv
草蜢-宝贝对不起(演唱会),http://em.21dtv.com/songs/60009992.mkv
纪萍-爸爸的宝贝(无原唱),http://em.21dtv.com/songs/60095838.mkv
蓝喆-宝贝的宝贝,http://em.21dtv.com/songs/60009990.mkv
于金胜-不变的爱你,http://em.21dtv.com/songs/60115675.mkv
伟小宝-宝宝唱奥运,http://em.21dtv.com/songs/60009967.mkv
晶迪-宝贝不要走,http://em.21dtv.com/songs/60009989.mkv
伊能静-爸爸不要说,http://em.21dtv.com/songs/60089607.mkv
小俊熙.逞坤-宝贝不要哭,http://em.21dtv.com/songs/60131357.mkv
卜学亮-宝贝不要哭,http://em.21dtv.com/songs/60087502.mkv
萧潇-爸爸别紧张,http://em.21dtv.com/songs/60009613.mkv
霍经伦-不被爱牵绊,http://em.21dtv.com/songs/60010991.mkv
山脚下男孩-爸爸爱妈妈,http://em.21dtv.com/songs/60091005.mkv
苗伟-博爱养心歌,http://em.21dtv.com/songs/60122063.mkv
苏慧伦-被爱是钻石,http://em.21dtv.com/songs/60010287.mkv
郑中基-被爱是幸福,http://em.21dtv.com/songs/60010286.mkv
郑中基-被爱是幸福(演唱会),http://em.21dtv.com/songs/60010285.mkv
金长勋+SUPER JUNIOR-breakups are so like me,http://em.21dtv.com/songs/60073002.mkv
罗中旭-把爱送给你,http://em.21dtv.com/songs/60081940.mkv
羽泉-把爱送给你,http://em.21dtv.com/songs/60009542.mkv
董燕妮-把爱说出来,http://em.21dtv.com/songs/60009541.mkv
侯延彬-不爱请走开,http://em.21dtv.com/songs/60113263.mkv
萧亚轩-不爱请闪开,http://em.21dtv.com/songs/60010971.mkv
机动现场-把爱圈起来,http://em.21dtv.com/songs/60063948.mkv
海生-把爱情打包,http://em.21dtv.com/songs/60074568.mkv
ELECTROBOYZ-Bang Bang十字路口,http://em.21dtv.com/songs/60101210.mkv
王博轼-不爱你非也,http://em.21dtv.com/songs/60132712.mkv
林淑容-别爱陌生人,http://em.21dtv.com/songs/60090003.mkv
JUICY J+LIL WAYNE-bandz a make her dance,http://em.21dtv.com/songs/60072924.mkv
岩宰仑-不爱没关系,http://em.21dtv.com/songs/60124795.mkv
蓝乐-把爱留给你,http://em.21dtv.com/songs/60094280.mkv
卢春如-不爱就走开(无原唱),http://em.21dtv.com/songs/60010960.mkv
陈茗加-把爱寄回家,http://em.21dtv.com/songs/60070513.mkv
摇滚女王-不爱就滚开,http://em.21dtv.com/songs/60132488.mkv
刘蕊绮-不爱就滚开,http://em.21dtv.com/songs/60115032.mkv
刘蕊绮-不爱就滚开,http://em.21dtv.com/songs/60110043.mkv
许仁杰-不安静的夜,http://em.21dtv.com/songs/60010986.mkv
梁汉文-不爱就不爱,http://em.21dtv.com/songs/60092899.mkv
金池-不爱会怎样,http://em.21dtv.com/songs/60084917.mkv
迪克牛仔-把爱还给我,http://em.21dtv.com/songs/60097552.mkv
侯鑫宝-把爱还给你,http://em.21dtv.com/songs/60061034.mkv
陈宝欣-把爱给了你,http://em.21dtv.com/songs/60106392.mkv
陈宝欣-把爱给了你,http://em.21dtv.com/songs/60074566.mkv
陈玉建-把爱给了你,http://em.21dtv.com/songs/60009536.mkv
玉面天使-不爱高富帅,http://em.21dtv.com/songs/60108693.mkv
高维那-不爱高富帅,http://em.21dtv.com/songs/60066873.mkv
羽泉-把爱放心中,http://em.21dtv.com/songs/60089446.mkv
王中平-把爱放下来,http://em.21dtv.com/songs/60091684.mkv
关楚耀-悲哀代言人,http://em.21dtv.com/songs/60010109.mkv
佚名-别爱的太多,http://em.21dtv.com/songs/60010560.mkv
范文芳-被爱的权利,http://em.21dtv.com/songs/60010279.mkv
李玟-被爱的女人,http://em.21dtv.com/songs/60010278.mkv
毛毛-不爱的理由,http://em.21dtv.com/songs/60010957.mkv
沙宝亮-不爱的练习,http://em.21dtv.com/songs/60103416.mkv
江蕙-悲哀的恋梦,http://em.21dtv.com/songs/60095734.mkv
曾心梅-悲哀的恋梦,http://em.21dtv.com/songs/60095585.mkv
周传雄-不安的灵魂,http://em.21dtv.com/songs/60106693.mkv
佚名-不安的快乐,http://em.21dtv.com/songs/60010984.mkv
河莉秀-被爱的机会(演唱会),http://em.21dtv.com/songs/60010277.mkv
刘和刚-把爱带回家,http://em.21dtv.com/songs/60101612.mkv
陈笑玮-把爱带回家,http://em.21dtv.com/songs/60065830.mkv
晓晓-把爱藏心里,http://em.21dtv.com/songs/60098419.mkv
程恢弘-把爱藏起来,http://em.21dtv.com/songs/60113923.mkv
F.I.R-把爱传出来,http://em.21dtv.com/songs/60009531.mkv
孙嘉梵-baby呀,http://em.21dtv.com/songs/60131324.mkv
爱戴-Baby爱,http://em.21dtv.com/songs/60117906.mkv
金池-边爱边学它,http://em.21dtv.com/songs/60100522.mkv
彭美琪-不爱不痛快,http://em.21dtv.com/songs/60135270.mkv
杨守刚-不爱别忽悠,http://em.21dtv.com/songs/60132583.mkv
林采缇-边爱边胡闹,http://em.21dtv.com/songs/60081660.mkv
邓丽欣-不爱不爱理,http://em.21dtv.com/songs/60010956.mkv
DEEP-白いマフラー,http://em.21dtv.com/songs/60009650.mkv
BOA-抱きしめる,http://em.21dtv.com/songs/60010053.mkv
酒井法子-碧いうさぎ,http://em.21dtv.com/songs/60074672.mkv
张洋-爱在这一秒,http://em.21dtv.com/songs/60081266.mkv
钟洁希-爱在转瞬间,http://em.21dtv.com/songs/60071755.mkv
王冠杰-爱总在徘徊,http://em.21dtv.com/songs/60009284.mkv
阿杜-爱字怎么写,http://em.21dtv.com/songs/60009281.mkv
阿杜-爱字怎么写(演唱会),http://em.21dtv.com/songs/60009280.mkv
成于申-爱直至成伤,http://em.21dtv.com/songs/60105915.mkv
成于申-爱直至成伤,http://em.21dtv.com/songs/60085754.mkv
达坡玛吉-爱在云之南,http://em.21dtv.com/songs/60009217.mkv
许绍洋-爱正要起飞,http://em.21dtv.com/songs/60009241.mkv
李翊君-爱在夕阳下,http://em.21dtv.com/songs/60009203.mkv
李茂山-爱在夕阳下,http://em.21dtv.com/songs/60009202.mkv
高胜美-爱在夕阳下,http://em.21dtv.com/songs/60009201.mkv
周杰伦-爱在西元前,http://em.21dtv.com/songs/60009204.mkv
杨玉平-爱在悬崖边,http://em.21dtv.com/songs/60068086.mkv
齐国-爱在小巷里,http://em.21dtv.com/songs/60109785.mkv
郑少秋+李芷玲-爱在心内暖,http://em.21dtv.com/songs/60009211.mkv
郑少秋+李美慧-爱在心内暖(演唱会),http://em.21dtv.com/songs/60009210.mkv
齐秦-爱在星空下,http://em.21dtv.com/songs/60126498.mkv
阿次-爱在香巴拉,http://em.21dtv.com/songs/60009207.mkv
邓丽君-爱在我心中,http://em.21dtv.com/songs/60009198.mkv
吴映洁-爱在我身边,http://em.21dtv.com/songs/60131258.mkv
王瑞霞-爱着无情人,http://em.21dtv.com/songs/60009239.mkv
陈永馨-爱只为你写,http://em.21dtv.com/songs/60127559.mkv
枫舞-爱在网络里,http://em.21dtv.com/songs/60115241.mkv
张文绮-爱着无法度,http://em.21dtv.com/songs/60105848.mkv
谢名-爱在天地间,http://em.21dtv.com/songs/60114784.mkv
降央卓玛-爱在天地间,http://em.21dtv.com/songs/60074537.mkv
祖海-爱在天地间,http://em.21dtv.com/songs/60009195.mkv
朱玉明-爱只是游戏,http://em.21dtv.com/songs/60117801.mkv
邱泽-爱只剩一天,http://em.21dtv.com/songs/60009256.mkv
许茹芸-爱只剩一秒,http://em.21dtv.com/songs/60009255.mkv
李宗盛-阿宗三件事,http://em.21dtv.com/songs/60112752.mkv
陈兴瑜-爱只是传说,http://em.21dtv.com/songs/60062283.mkv
陈兴瑜-爱只是传说(演唱会),http://em.21dtv.com/songs/60062282.mkv
陈兴瑜-爱只是传说(舞曲版),http://em.21dtv.com/songs/60062281.mkv
吴昊-爱在日出前,http://em.21dtv.com/songs/60081202.mkv
子夕-爱在黔东南,http://em.21dtv.com/songs/60080877.mkv
肖淑平+康志雄-爱在普吉岛,http://em.21dtv.com/songs/60097633.mkv
陈瑞-爱着你最好,http://em.21dtv.com/songs/60120096.mkv
任贤齐-爱在你伤口,http://em.21dtv.com/songs/60009177.mkv
群星-爱在你身边,http://em.21dtv.com/songs/60009180.mkv
刘超华-爱在你身边,http://em.21dtv.com/songs/60009179.mkv
罗中旭-爱在你身边(演唱会),http://em.21dtv.com/songs/60009178.mkv
蔡小虎-爱着你的人,http://em.21dtv.com/songs/60009234.mkv
谢霆锋+梅琳-爱在蔓延中,http://em.21dtv.com/songs/60009174.mkv
HIT-5-爱在每一秒,http://em.21dtv.com/songs/60009176.mkv
郭文俊-爱在每一季,http://em.21dtv.com/songs/60071753.mkv
高峰-爱在每一次,http://em.21dtv.com/songs/60094354.mkv
郎军-爱怎么挽留,http://em.21dtv.com/songs/60066833.mkv
汪苏泷-爱怎么会错,http://em.21dtv.com/songs/60116107.mkv
江蕙-爱作梦的鱼,http://em.21dtv.com/songs/60009293.mkv
佚名-爱做梦的人,http://em.21dtv.com/songs/60009295.mkv
萧煌奇-爱作梦的人,http://em.21dtv.com/songs/60009292.mkv
群星-爱转了一圈,http://em.21dtv.com/songs/60009268.mkv
琬婷-爱在离别时,http://em.21dtv.com/songs/60009172.mkv
李咏梅-爱在空气里,http://em.21dtv.com/songs/60086439.mkv
张秀卿-爱着卡惨死(无原唱),http://em.21dtv.com/songs/60071798.mkv
佚名-爱着卡惨死(无原唱),http://em.21dtv.com/songs/60009228.mkv
傅又宣-爱这件事情,http://em.21dtv.com/songs/60106609.mkv
傅又宣-爱这件事情,http://em.21dtv.com/songs/60105599.mkv
赵建林-爱在回忆里,http://em.21dtv.com/songs/60126233.mkv
王晓雪-爱在花水湾,http://em.21dtv.com/songs/60119812.mkv
张也-爱在黑龙江,http://em.21dtv.com/songs/60089847.mkv
沈菁-爱在风雨中,http://em.21dtv.com/songs/60009163.mkv
芊芳-爱着放袂离,http://em.21dtv.com/songs/60135659.mkv
蔡佳麟-阿宅的心声,http://em.21dtv.com/songs/60096491.mkv
约瑟翰庞麦郎-肮脏的恶魔,http://em.21dtv.com/songs/60124337.mkv
歌武传奇-爱在大草原,http://em.21dtv.com/songs/60135470.mkv
李玟-爱之初体验,http://em.21dtv.com/songs/60118684.mkv
陈一玲-爱之初体验,http://em.21dtv.com/songs/60084866.mkv
张柏芝-爱之初体验(演唱会),http://em.21dtv.com/songs/60009245.mkv
黄品源+黄品冠-爱之初体验(演唱会),http://em.21dtv.com/songs/60009244.mkv
张震岳-爱之初体验,http://em.21dtv.com/songs/60006931.mkv
马智宇-爱在春天里,http://em.21dtv.com/songs/60070506.mkv
火雅-爱在八万里,http://em.21dtv.com/songs/60108692.mkv
刘雅丽-爱在别离中,http://em.21dtv.com/songs/60092369.mkv
许志安-爱在布拉格,http://em.21dtv.com/songs/60093163.mkv
央金次卓-爱在布达拉,http://em.21dtv.com/songs/60069223.mkv
戴梅君-爱着爱甘愿,http://em.21dtv.com/songs/60095538.mkv
佚名-爱着爱到死,http://em.21dtv.com/songs/60009265.mkv
李翊君-爱着爱到死,http://em.21dtv.com/songs/60009226.mkv
黄秋田-爱着爱到死,http://em.21dtv.com/songs/60009225.mkv
李玟-爱在85℃,http://em.21dtv.com/songs/60009152.mkv
罗美玲-爱一直闪亮,http://em.21dtv.com/songs/60009066.mkv
郑耿-爱要怎么走,http://em.21dtv.com/songs/60074522.mkv
黄贯中-爱又怎么样,http://em.21dtv.com/songs/60074531.mkv
佚名-爱要怎么说,http://em.21dtv.com/songs/60009022.mkv
伍思凯-爱要怎么说,http://em.21dtv.com/songs/60009021.mkv
张雷-爱要怎么唱,http://em.21dtv.com/songs/60094902.mkv
李利依-奥运中国结(演唱会),http://em.21dtv.com/songs/60068091.mkv
金虎-爱一直都在,http://em.21dtv.com/songs/60098820.mkv
陈明-爱要找到你,http://em.21dtv.com/songs/60009025.mkv
梁文音-爱一直存在,http://em.21dtv.com/songs/60009065.mkv
邱凯伟-爱越远越重,http://em.21dtv.com/songs/60112294.mkv
叶瑷菱-哎咿呀咿呀,http://em.21dtv.com/songs/60090793.mkv
陈慧娴-爱亦要舍弃,http://em.21dtv.com/songs/60009086.mkv
刘德华-爱永远存在,http://em.21dtv.com/songs/60121437.mkv
张瑶-爱要向前进,http://em.21dtv.com/songs/60009018.mkv
刘栋升-爱要向前冲,http://em.21dtv.com/songs/60106646.mkv
阿四龙组合-哎呀小凉山,http://em.21dtv.com/songs/60108958.mkv
王莱+郑乔安-爱伊西块鲁,http://em.21dtv.com/songs/60121949.mkv
张杰-爱伊携带汝(演唱会),http://em.21dtv.com/songs/60009067.mkv
曾辉彬-哎哟我的天,http://em.21dtv.com/songs/60087963.mkv
曾辉彬-哎呦我的天,http://em.21dtv.com/songs/60006890.mkv
高进-哎呀我的神,http://em.21dtv.com/songs/60006872.mkv
蔡秋凤-唉呦我的妈,http://em.21dtv.com/songs/60123133.mkv
丁丁-爱要坦荡荡(演唱会),http://em.21dtv.com/songs/60068079.mkv
萧潇-爱要坦荡荡,http://em.21dtv.com/songs/60009017.mkv
郑秀文-爱有什么用,http://em.21dtv.com/songs/60009109.mkv
MINI-爱有双翅膀,http://em.21dtv.com/songs/60009110.mkv
迪克牛仔-爱依然是爱,http://em.21dtv.com/songs/60089496.mkv
方皓玟-爱要让你知,http://em.21dtv.com/songs/60009014.mkv
伍咏薇-爱依然精彩,http://em.21dtv.com/songs/60009069.mkv
ELTON JOHN-are you ready for love,http://em.21dtv.com/songs/60000326.mkv
黎明-爱要去哪里,http://em.21dtv.com/songs/60009013.mkv
梦然-爱一去不回,http://em.21dtv.com/songs/60124165.mkv
DURAN DURAN-all you need is now,http://em.21dtv.com/songs/60062013.mkv
THE BEATLES-all you need is love,http://em.21dtv.com/songs/60000183.mkv
T-ara-因你而疯,http://em.21dtv.com/songs/60000323.mkv
MARIAH CAREY-anytime you need a friend,http://em.21dtv.com/songs/60000315.mkv
高林生-爱与梦同行,http://em.21dtv.com/songs/60062366.mkv
罗文-爱与梦同行,http://em.21dtv.com/songs/60009129.mkv
李漫荻-爱与梦飞翔,http://em.21dtv.com/songs/60093768.mkv
古巨基-爱与梦飞行,http://em.21dtv.com/songs/60009128.mkv
古巨基-爱与梦飞行(演唱会),http://em.21dtv.com/songs/60009127.mkv
陈晓东-爱有了影踪,http://em.21dtv.com/songs/60009102.mkv
韩宝仪-哎呀留下来,http://em.21dtv.com/songs/60088948.mkv
F.I.R-爱有路可退(演唱会),http://em.21dtv.com/songs/60061027.mkv
雷龙-奥运狂欢夜,http://em.21dtv.com/songs/60009444.mkv
林凡-爱已经受伤,http://em.21dtv.com/songs/60100201.mkv
天孪兄弟-爱已经离开,http://em.21dtv.com/songs/60009077.mkv
李晶涵-爱已经不在,http://em.21dtv.com/songs/60009076.mkv
杜留香-爱已化乌有,http://em.21dtv.com/songs/60124099.mkv
杨丽-爱要火辣辣,http://em.21dtv.com/songs/60080807.mkv
李志刚-爱已化成灰,http://em.21dtv.com/songs/60009075.mkv
李俊旭-爱已化成灰,http://em.21dtv.com/songs/60009074.mkv
林心如-爱一个快乐,http://em.21dtv.com/songs/60088098.mkv
丁汀-爱应该快乐,http://em.21dtv.com/songs/60009094.mkv
李湘-爱要放轻松,http://em.21dtv.com/songs/60091328.mkv
刚泽斌-爱易放难收,http://em.21dtv.com/songs/60009088.mkv
陈思思-奥运的微笑,http://em.21dtv.com/songs/60009443.mkv
崔天琪-爱要多么烫,http://em.21dtv.com/songs/60107693.mkv
程欣-爱一刀两断,http://em.21dtv.com/songs/60070504.mkv
王旭鹏-爱一定很累,http://em.21dtv.com/songs/60116140.mkv
唐杰-爱已成罪过,http://em.21dtv.com/songs/60110095.mkv
佚名-奥运畅想曲,http://em.21dtv.com/songs/60009441.mkv
吴若希-爱要撑下去,http://em.21dtv.com/songs/60009010.mkv
张津涤-爱已成奢侈,http://em.21dtv.com/songs/60132454.mkv
蔡卓妍-爱赢才会拼,http://em.21dtv.com/songs/60061026.mkv
阿毛-爱一次不够,http://em.21dtv.com/songs/60131922.mkv
草蜢+黎瑞恩-爱一次便够,http://em.21dtv.com/songs/60009031.mkv
苏晴+小拇指-哎呀别再减,http://em.21dtv.com/songs/60066771.mkv
陈杰瑞-爱一百万次,http://em.21dtv.com/songs/60123302.mkv
张华+姜易-奥运china北京,http://em.21dtv.com/songs/60009440.mkv
小虎队-爱,http://em.21dtv.com/songs/60106795.mkv
詹曼铃-爱沅爱一半,http://em.21dtv.com/songs/60009144.mkv
萧闳仁+安心亚-爱要安心呀,http://em.21dtv.com/songs/60096121.mkv
谢金燕-爱要爱的久,http://em.21dtv.com/songs/60009008.mkv
余润泽+徐铵-爱呀爱不够,http://em.21dtv.com/songs/60134891.mkv
余润泽+徐铵-爱呀爱不够,http://em.21dtv.com/songs/60111693.mkv
詹雅雯-爱心一直湠,http://em.21dtv.com/songs/60110513.mkv
何雁诗-爱需要勇气,http://em.21dtv.com/songs/60131166.mkv
王爱华-爱像一条河,http://em.21dtv.com/songs/60084857.mkv
邓丽君-爱像一首歌,http://em.21dtv.com/songs/60008994.mkv
蔡琴-爱像一首歌,http://em.21dtv.com/songs/60008993.mkv
邓丽君-爱像一首歌(演唱会),http://em.21dtv.com/songs/60008992.mkv
刘瑞琪-爱需要练习,http://em.21dtv.com/songs/60132250.mkv
陈明-爱需要练习,http://em.21dtv.com/songs/60118160.mkv
小凤凤-阿香要嫁尫,http://em.21dtv.com/songs/60006833.mkv
彭三-爱像一把刀,http://em.21dtv.com/songs/60129136.mkv
戴恩玲-爱心一百次,http://em.21dtv.com/songs/60009004.mkv
陈一郎-阿霞相思梦,http://em.21dtv.com/songs/60095977.mkv
元若蓝-爱X无限大,http://em.21dtv.com/songs/60115696.mkv
牛马丁-阿兄唐山人,http://em.21dtv.com/songs/60006837.mkv
祁隆-爱像手中沙,http://em.21dtv.com/songs/60107094.mkv
李志洲-爱像手中沙,http://em.21dtv.com/songs/60068077.mkv
吴进法-安溪是我家,http://em.21dtv.com/songs/60070510.mkv
萧亚轩-爱熄灭之前,http://em.21dtv.com/songs/60008971.mkv
袁野-爱心满世界(演唱会),http://em.21dtv.com/songs/60009002.mkv
霍建华-爱像棉花糖,http://em.21dtv.com/songs/60008987.mkv
沈芯羽-阿星老师说,http://em.21dtv.com/songs/60006835.mkv
